rpt_rec_num,avg_days_open_per_week,avg_session_time,avg_weekly_sessions,dialyser_reuse_times,dialyzer_type,epo_cost,epo_net_cost,epo_rebates,epo_total,lab_services,non_medicare_sessions,non_medicare_sessions_indirect,num_machines_regular,num_machines_standby,supplies,total_costs_hd_benefits,total_costs_hd_drugs,total_costs_hd_housekeeping,total_costs_hd_labs,total_costs_hd_machines,total_costs_hd_other,total_costs_hd_salaries,total_costs_hd_supplies,total_treatments_hd,total_treatments_pd,certification_date,chain_identity,chain_indicator,ever_hospital_based,facility_name,prvdr_num,report_end_date,report_start_date,state,zip_code,fy_bgn_dt,fy_end_dt,year
64711,6,4.5,3,10,1,,-139175,14670,14292,,825,,25,5,,27035,709,58329,,7933,108213,102548,53494,2233,,10/27/95,DAVITA INC,Y,N,NORTH PHILADELPHIA DIALYSIS CENTER,392605,02/29/04,01/01/04,,,1/1/2004,2/29/2004,2004
64803,3,5,3,12,1,,-58718,,6915,95,390,,11,,241,16660,1149,84620,,44456,46067,76907,22797,1167,,01/02/04,WAKE FOREST UN. HEALTH SCIENCES,Y,N,KING DIALYSIS CENTER,342633,,,,27021,1/2/2004,6/30/2004,2004
65325,3,4,3,,1,,-44243,-12351,6524,1721,258,,8,2,185,11221,39,31631,233,22668,87120,56314,20806,1317,,11/14/86,FRESENIUS MEDICAL CARE  N.A.,Y,N,BMA HUMBOLT,442545,08/06/04,01/01/04,,,1/1/2004,8/6/2004,2004
65326,6,4,3,,1,,-120362,-25717,16479,2592,703,,8,2,304,15554,752,33223,432,26194,113112,78049,34279,2026,,12/13/89,FRESENIUS MEDICAL CARE  N.A.,Y,N,BMA BOLIVAR,442561,08/06/04,01/01/04,,,1/1/2004,8/6/2004,2004
65327,6,4.5,3,,1,,-78135,-16236,10617,1148,381,,8,2,240,16946,357,41684,431,25400,107803,74496,27000,1627,,08/21/98,FRESENIUS MEDICAL CARE  N.A.,Y,N,FMC DS HENDERSON COUNTY,442620,08/06/04,01/01/04,,,1/1/2004,8/6/2004,2004
65359,3,4,3,,1,,-43300,-8372,5761,1148,184,,8,2,505,10701,384,49558,101,8586,77566,41386,16040,882,,02/13/87,FRESENIUS MEDICAL CARE  N.A.,Y,N,BMA MADISON COUNTY,442550,07/28/04,01/01/04,,,1/1/2004,7/28/2004,2004
65574,3,5,3,,1,,-19964,,1960,,75,,10,,,3153,,9869,278,,43698,18072,4196,274,,04/23/04,,N,N,GARFIELD KIDNEY CENTER,142646,,,,60624,4/23/2004,6/30/2004,2004
65617,3,4.5,3,,1,,-46285,-8059,5439,,535,,5,1,258,44816,3675,52917,1724,28890,55006,159675,10443,840,,03/11/02,DIALYSIS CLINIC  INC.,Y,N,DIALYSIS CLINIC  INC,452842,09/30/04,10/01/03,,78701,10/1/2003,9/30/2004,2004
65621,3,4.5,3,9,1,,-678756,-108205,80003,,7128,,24,3,,607647,,276730,22930,63347,503965,1389550,304604,19949,,07/01/93,DIALYSIS CLINIC  INC.,Y,N,DIALYSIS CLINIC  INC,262537,09/30/04,10/01/03,,64131,10/1/2003,9/30/2004,2004
65627,6,5,3,23,1,,-316184,-60487,42188,9494,1495,,15,2,433,179401,4324,130483,2193,60711,193226,458774,97735,6961,,10/01/95,DIALYSIS CLINIC  INC.,Y,N,DIALYSIS CLINIC  INC,182533,09/30/04,10/01/03,,40475,10/1/2003,9/30/2004,2004
