rpt_rec_num,avg_days_open_per_week,avg_session_time,avg_weekly_sessions,dialyser_reuse_times,dialyzer_type,epo_cost,epo_net_cost,epo_rebates,epo_total,lab_services,non_medicare_sessions,non_medicare_sessions_indirect,num_machines_regular,num_machines_standby,supplies,total_costs_hd_benefits,total_costs_hd_drugs,total_costs_hd_housekeeping,total_costs_hd_labs,total_costs_hd_machines,total_costs_hd_other,total_costs_hd_salaries,total_costs_hd_supplies,total_treatments_hd,total_treatments_pd,certification_date,chain_identity,chain_indicator,ever_hospital_based,facility_name,prvdr_num,report_end_date,report_start_date,state,zip_code,fy_bgn_dt,fy_end_dt,year
52936,3,5,3,,1,,-102953,-8910,10764,215,61,,27,3,384,30728,50,63988,280,30514,71075,125819,43203,1835,,03/09/88,FRESENIUS MEDICAL CARE  N.A.,Y,N,LAURENS COUNTY DIALYSIS CENTER,422544,,,,29325,1/1/2003,5/31/2003,2003
53277,3,5,3,15,1,,-13570,2277,1030,,3,,6,1,49,1686,841,14956,1707,12894,16581,20568,6923,233,,03/31/91,RENAL CARE GROUP  INC.,Y,N,RCG GREENSBURG,152519,02/15/03,01/01/03,,,1/1/2003,2/15/2003,2003
54856,6,5,3,,1,,-112183,,11218,,228,,8,2,,8601,138729,5009,4672,17395,47578,45379,2596,1755,,02/24/93,,N,N,TITUSVILLE DIALYSIS & KIDNEY CENTER,102655,03/31/03,01/01/03,,,1/1/2003,3/31/2003,2003
54976,3,3.5,3,12,1,,3469,,245,,,,2,1,,,504,6801,,3632,599,10769,1160,104,,03/31/98,,N,N,MEADOW DIALYSIS FACILITY @ RAVENWOOD,212584,05/16/03,01/01/03,,,1/1/2003,5/16/2003,2003
55770,3,4,3,,1,,-108407,-26489,14615,,306,,11,1,,27613,2515,71702,634,37656,75799,124295,51872,2118,,02/09/93,GAMBRO HEALTHCARE,Y,N,GAMBRO HEALTHCARE-OBION COUNTY,442575,10/31/03,01/01/03,,38261,1/1/2003,10/31/2003,2003
55772,3,4.5,3,35,1,,-235145,-58948,30622,,519,,13,2,,53038,6015,153243,2222,82835,167850,243398,71272,4814,,01/01/00,GAMBRO HEALTHCARE,Y,N,GAMBRO HEALTHCARE-BAXLEY,112638,12/31/03,01/01/03,,31513,1/1/2003,12/31/2003,2003
55774,6,5,3,,1,,-344791,-86780,44454,,1972,,22,3,,79023,5268,334258,1553,125367,270164,382567,178811,6709,,11/07/01,GAMBRO HEALTHCARE,Y,N,GAMBRO HEALTHCARE - ATLANTA MIDTOWN,112703,12/31/03,01/01/03,,30308,1/1/2003,12/31/2003,2003
55926,6,4,3,,1,,-321900,-80731,43912,,923,,12,2,,76304,5539,184259,1428,79575,200372,350569,144527,6588,,06/15/00,GAMBRO HEALTHCARE,Y,N,GAMBRO HEALTHCARE CUMMINGS,112681,12/31/03,01/01/03,,30041,1/1/2003,12/31/2003,2003
55927,6,5,3,,1,,-348653,-87479,47281,,2289,,24,2,,101589,10740,322623,2001,110955,303057,457204,173654,7910,,11/04/02,GAMBRO HEALTHCARE,Y,N,GAMBRO HEALTHCARE - COLUMBUS DOWNTOW,362650,12/31/03,01/01/03,,43215,1/1/2003,12/31/2003,2003
55930,3,5,3,,1,,-306671,-77225,39222,,840,,12,2,,53739,4525,102695,3942,72327,179420,234484,90621,4866,,07/29/98,GAMBRO HEALTHCARE,Y,N,GAMBRO HEALTHCARE - WAYNESBURG,392641,12/31/03,01/01/03,,15370,1/1/2003,12/31/2003,2003
55931,6,4,3,30,1,,-174929,-44007,23405,,1509,,8,2,,38911,3800,156280,970,62793,170246,170867,76311,4689,,10/21/02,GAMBRO HEALTHCARE,Y,N,GAMBRO HEALTHCARE - CLEARFIELD,392704,12/31/03,01/01/03,,16830,1/1/2003,12/31/2003,2003
55932,6,4,3,,1,,-275506,-69189,37046,,637,,12,2,,61724,5260,132749,1351,71633,187681,275243,119535,5651,,03/26/97,GAMBRO HEALTHCARE,Y,N,GAMBRO HEALTHCARE - TIPTON COUNTY,442604,12/31/03,01/01/03,,38019,1/1/2003,12/31/2003,2003
55935,6,4,3,,1,,-217250,-54315,28171,,1226,,13,2,,58800,6115,205268,1683,59666,178190,276328,132230,6019,,12/20/01,GAMBRO HEALTHCARE,Y,N,GAMBRO HEALTHCARE - CHRISTAIN COUNTY,182549,12/31/03,01/01/03,,42240,1/1/2003,12/31/2003,2003
56281,6,5,3,22,1,,-878587,-219951,116450,,2225,,24,3,,154131,9053,309831,8224,163032,351328,699291,239781,16722,,01/01/00,GAMBRO HEALTHCARE,Y,N,GAMBRO HEALTHCARE - AIRLINE BLVD.,492592,12/31/03,01/01/03,,23701,1/1/2003,12/31/2003,2003
56284,6,4.5,3,,1,,-487614,-121887,64262,,4069,,18,2,,134184,13131,316005,2504,103410,306504,601996,199258,10480,,01/01/00,GAMBRO HEALTHCARE,Y,N,GAMBRO HEALTHCARE - ELKINS PARK,392635,12/31/03,01/01/03,,19027,1/1/2003,12/31/2003,2003
56286,3,4.5,3,,1,,-601814,-150918,76276,,2183,,21,2,,88242,7492,277487,1678,109038,308249,410574,161520,7328,,01/22/99,GAMBRO HEALTHCARE,Y,N,GAMBRO HEALTHCARE - 25TH STREET,212595,12/31/03,01/01/03,,21218,1/1/2003,12/31/2003,2003
56287,3,4.5,3,14,1,,-207078,-51868,27918,,852,,14,3,,45313,4582,130440,947,63765,157888,203281,69828,4111,,04/01/01,GAMBRO HEALTHCARE,Y,N,GAMBRO HEALTHCARE - MONROE NORTH,192627,12/31/03,01/01/03,,71203,1/1/2003,12/31/2003,2003
56288,3,5,3,7,1,,-42934,-10798,5704,,264,,6,1,,17955,1470,92578,959,35506,70564,81628,19439,1151,,04/01/01,GAMBRO HEALTHCARE,Y,N,GAMBRO HEALTHCARE - FARMERVILLE,192628,12/31/03,01/01/03,,71241,1/1/2003,12/31/2003,2003
56289,3,4,3,,1,,-193994,-48798,25260,,801,,16,4,,45858,5044,157832,1214,83705,153238,204485,121823,5514,,04/01/01,GAMBRO HEALTHCARE,Y,N,GAMBRO HEALTHCARE - LAKE CHARLES SOU,192634,12/31/03,01/01/03,,70607,1/1/2003,12/31/2003,2003
56290,6,5,3,,1,,-249653,-62737,33084,,1023,,10,3,,56295,5103,244538,1344,77595,187742,252119,143748,6210,,04/01/01,GAMBRO HEALTHCARE,Y,N,GAMBRO HEALTHCARE - SULPHUR,192612,12/31/03,01/01/03,,70664,1/1/2003,12/31/2003,2003
56292,6,4,3,,1,,-1431464,-357928,190575,,3389,,37,4,,177147,20561,332000,4270,192883,504432,807274,412935,20550,,01/01/00,GAMBRO HEALTHCARE,Y,N,GAMBRO HEALTHCARE-HENDERSON,342543,12/31/03,01/01/03,,27536,1/1/2003,12/31/2003,2003
56293,6,4.5,3,,1,,-365183,-91389,48988,,810,,12,2,,90437,3323,134259,1756,60139,224682,408060,185701,8893,,06/01/96,GAMBRO HEALTHCARE,Y,N,GAMBRO HEALTHCARE - CHURCHLAND,492581,12/31/03,01/01/03,,23321,1/1/2003,12/31/2003,2003
56294,6,4,3,9,1,,-403314,-100635,48961,,1445,,18,3,,111252,8204,222528,2687,103262,271674,538339,137266,7731,,01/01/01,GAMBRO HEALTHCARE,Y,N,GAMBRO HEALTHCARE-MONROE,362506,12/31/03,01/01/03,,45050,1/1/2003,12/31/2003,2003
56295,6,4.75,3,10,1,,-262571,-65506,31784,,2414,,16,3,,93428,6937,194479,2397,114095,212019,421361,122319,7023,,06/06/01,GAMBRO HEALTHCARE,Y,N,GAMBRO HEALTHCARE - SILVERTON,362633,12/31/03,01/01/03,,45236,1/1/2003,12/31/2003,2003
56296,6,4.25,3,21,1,,-633133,-158565,85788,,2368,,20,5,,174475,10965,320498,4441,139251,364999,795800,243476,15594,,06/01/96,GAMBRO HEALTHCARE,Y,N,GAMBRO HEALTHCARE - PORTSMOUTH,492554,12/31/03,01/01/03,,23704,1/1/2003,12/31/2003,2003
56297,6,4,3,,1,,-225230,-56469,31164,,1056,,8,3,,42346,6558,87326,986,54652,159806,187500,99666,4845,,09/30/94,GAMBRO HEALTHCARE,Y,N,GAMBRO HEALTHCARE - REIDSVILLE,342574,12/31/03,01/01/03,,27320,1/1/2003,12/31/2003,2003
56298,3,4,3,,1,,-190772,-47993,25451,,781,,15,2,,51534,8152,112375,2791,72863,142949,231467,120770,5343,,08/01/01,GAMBRO HEALTHCARE,Y,N,GAMBRO HEALTHCARE - MCMINNVILLE,442558,12/31/03,01/01/03,,37110,1/1/2003,12/31/2003,2003
56301,6,4,3,,1,,-1335947,-335093,182580,,4264,,26,3,,207548,21475,322853,4389,119825,476581,934680,454374,19781,,01/01/00,GAMBRO HEALTHCARE,Y,N,GAMBRO HEALTHCARE-MEMPHIS CENTRAL,442573,12/31/03,01/01/03,,38126,1/1/2003,12/31/2003,2003
56302,6,4,3,19,1,,-521151,-130809,70471,,2339,,17,4,,114976,10946,217995,3464,102472,256837,525778,204544,10434,,09/06/00,GAMBRO HEALTHCARE,Y,N,GAMBRO HEALTHCARE - MIDLOTHIAN,492608,12/31/03,01/01/03,,23113,1/1/2003,12/31/2003,2003
56467,6,5,3,12,1,,-488343,65417,55860,,5086,,21,3,,96460,2161,364029,,131243,385790,369865,117747,8834,,11/19/93,DAVITA INC.,Y,N,FLAMINGO PARK KIDNEY CENTER #354,102664,,,,33010,1/1/2003,12/31/2003,2003
56570,6,4.5,3,7,1,,-632831,-158960,82710,,3349,,25,3,,132392,11428,306993,13398,153364,339846,602764,234026,12949,,01/01/00,GAMBRO HEALTHCARE,Y,N,GAMBRO HEALTHCARE- HENRICO COUNTY,492598,12/31/03,01/01/03,,23227,1/1/2003,12/31/2003,2003
56571,6,4.5,3,,1,,-555440,-139768,69119,,1447,,20,3,,125297,9641,282748,2735,79552,282926,575805,259094,11312,,01/01/00,GAMBRO HEALTHCARE,Y,N,GAMBRO HEALTHCARE - CHARLOTTESVILLE,492564,12/31/03,01/01/03,,22902,1/1/2003,12/31/2003,2003
56572,6,5,3,,1,,-903429,-226466,121258,,3181,,27,8,,159066,8601,265855,3929,131027,364990,722762,294861,14948,,01/01/00,GAMBRO HEALTHCARE,Y,N,GAMBRO HEALTHCARE-MCV RICHMOND,492561,12/31/03,01/01/03,,23223,1/1/2003,12/31/2003,2003
56573,6,4.5,3,18,1,,-991049,-248504,131630,,2756,,40,3,,209669,21753,319428,21136,206310,471411,931857,368528,22308,,01/01/00,GAMBRO HEALTHCARE,Y,N,GAMBRO HEALTHCARE-WILSON,342507,12/31/03,01/01/03,,27893,1/1/2003,12/31/2003,2003
56574,6,4.5,3,,1,,-560831,-140657,75846,,2014,,20,2,,96955,8393,317614,3354,110963,277729,430799,229066,10897,,01/01/00,GAMBRO HEALTHCARE,Y,N,GAMBRO HEALTHCARE-ROXBORO,342562,12/31/03,01/01/03,,27573,1/1/2003,12/31/2003,2003
56576,6,4.5,3,16,1,,-445407,-111417,56693,,1578,,15,2,,80898,7119,231409,1361,73813,219715,391960,106978,6237,,07/23/99,GAMBRO HEALTHCARE,Y,N,GAMBRO HEALTHCARE HOWARD STREET,212606,12/31/03,01/01/03,,21201,1/1/2003,12/31/2003,2003
56577,3,3.5,3,,1,,-90081,-22538,11267,,293,,3,1,,19122,448,20011,348,13034,46235,86817,16083,999,,03/29/99,GAMBRO HEALTHCARE,Y,N,GAMBRO HEALTHCARE - BALTIMORE GERIAT,212597,12/31/03,01/01/03,,21224,1/1/2003,12/31/2003,2003
56578,6,4,3,,1,,-218645,-54953,27469,,672,,12,3,,59724,3256,156353,1042,61809,163038,267838,87444,4671,,03/12/01,GAMBRO HEALTHCARE,Y,N,GAMBRO HEALTHCARE - DUNDALK,212616,12/31/03,01/01/03,,21222,1/1/2003,12/31/2003,2003
56579,6,3.75,3,,1,,-418991,-104939,54297,,1191,,16,2,,80804,8435,144131,1813,63007,245930,357476,197843,8918,,01/01/00,GAMBRO HEALTHCARE,Y,N,GAMBRO HEALTHCARE-GOLDSBORO SOUTH,342587,12/31/03,01/01/03,,27534,1/1/2003,12/31/2003,2003
56580,6,4.5,3,10,1,,-663090,-166048,87777,,6730,,24,5,,213599,14957,380224,5666,142850,456663,947304,256519,17097,,01/01/01,GAMBRO HEALTHCARE,Y,N,GAMBRO HEALTHCARE-WINTON ROAD,362611,12/31/03,01/01/03,,45224,1/1/2003,12/31/2003,2003
56581,6,4,3,,1,,-148073,-37137,19488,,832,,8,1,,58420,5086,121898,3334,65954,151860,264762,107485,4883,,01/01/01,GAMBRO HEALTHCARE,Y,N,GAMBRO HEALTHCARE - GUERNSEY COUNTY,362535,12/31/03,01/01/03,,43725,1/1/2003,12/31/2003,2003
56582,6,4.5,3,,1,,-273579,-68569,36900,,1328,,13,2,,67118,9726,115304,2002,57449,183258,309996,135803,6588,,08/01/01,GAMBRO HEALTHCARE,Y,N,GAMBRO HEALTHCARE - MURFREESBORO,442549,12/31/03,01/01/03,,37130,1/1/2003,12/31/2003,2003
56583,6,4,3,9,1,,-527608,-132280,67106,,3570,,18,3,,158582,10885,293895,2834,116128,387127,752409,243644,12237,,01/01/01,GAMBRO HEALTHCARE,Y,N,GAMBRO HEALTHCARE-BLUE ASH,362519,12/31/03,01/01/03,,45050,1/1/2003,12/31/2003,2003
56584,6,4,3,,1,,-161919,-40367,21776,,808,,8,2,,54694,6429,81933,1109,52508,153022,246370,115638,5084,,03/21/97,GAMBRO HEALTHCARE,Y,N,GAMBRO HEALTHCARE-CROSSVILLE,442602,12/31/03,01/01/03,,38555,1/1/2003,12/31/2003,2003
