rpt_rec_num,avg_days_open_per_week,avg_session_time,avg_weekly_sessions,dialyser_reuse_times,dialyzer_type,epo_cost,epo_net_cost,epo_rebates,epo_total,lab_services,non_medicare_sessions,non_medicare_sessions_indirect,num_machines_regular,num_machines_standby,supplies,total_costs_hd_benefits,total_costs_hd_drugs,total_costs_hd_housekeeping,total_costs_hd_labs,total_costs_hd_machines,total_costs_hd_other,total_costs_hd_salaries,total_costs_hd_supplies,total_treatments_hd,total_treatments_pd,certification_date,chain_identity,chain_indicator,ever_hospital_based,facility_name,prvdr_num,report_end_date,report_start_date,state,zip_code,fy_bgn_dt,fy_end_dt,year
7,6,4.5,3,65,1,,-1009376,-158587,150000,24121,4520,718,32,4,,233134,11142,154482,6959,163343,489631,985255,602642,23336,,03/01/1977,FRESENIUS MEDICAL CARE  N.A.,Y,,BMA MONTGOMERY,012500,12/31/1998,01/01/1998,,36104,1/1/1998,12/31/1998,1998
23,6,4,3,,1,,-212892,-32631,32585,7188,969,,10,1,,46282,2145,84775,2003,39020,167791,229645,217846,5768,,08/07/1986,FRESENIUS MEDICAL CARE  N.A.,Y,,FMC NORTH ALABAMA,012509,12/31/1998,01/01/1998,,35801,1/1/1998,12/31/1998,1998
44,6,4,3,15,1,,-522806,-80538,72832,9425,2577,,23,2,,112386,5099,259489,5500,86742,311063,517534,278464,14541,,01/26/1980,FRESENIUS MEDICAL CARE  N.A.,Y,,BMA SELMA,012512,12/31/1998,01/01/1998,,36701,1/1/1998,12/31/1998,1998
53,3,4.5,3,40,1,,-136747,-21319,19993,5804,810,,10,2,,33544,1160,149013,831,50367,83855,128102,69074,2837,,01/31/1981,FRESENIUS MEDICAL CARE  N.A.,Y,,CHATAHOOCHE ARTIFICIAL,012513,12/31/1998,01/01/1998,,36854,1/1/1998,12/31/1998,1998
62,6,4.5,3,40,1,,-512626,-78169,73246,8374,1707,,5,20,,124672,5104,208466,4944,95745,298495,463221,237410,12757,,09/07/1982,FRESENIUS MEDICAL CARE  N.A.,Y,,BMA - OPELIKA,012515,12/31/1998,01/01/1998,,36802,1/1/1998,12/31/1998,1998
80,6,4,3,10,1,,-12549,-1372,1700,,,,14,1,,5022,,38890,61,12638,17187,17232,7122,372,,12/07/1983,FRESENIUS MEDICAL CARE  N.A.,Y,,BMA DECATUR,012518,04/05/1998,01/01/1998,,35601,1/1/1998,4/5/1998,1998
89,6,4,3,,,,-171948,-25766,24955,3581,421,,10,1,,47499,761,74120,1321,37365,126058,171512,79796,3933,,10/01/1986,FRESENIUS MEDICAL CARE  N.A.,Y,,SCOTTSBORO DIALYSIS,012519,12/31/1998,01/01/1998,,35768,1/1/1998,12/31/1998,1998
98,6,4.5,3,65,1,,-233688,-36740,32000,,823,,10,1,,51703,2003,98480,1747,33866,128229,261477,102003,5827,,11/19/1984,FRESENIUS MEDICAL CARE  N.A.,Y,,BMA TROY,012520,12/31/1998,01/01/1998,,36081,1/1/1998,12/31/1998,1998
108,6,5,3,,1,,-934638,-139047,108871,39504,2369,,32,4,,147774,5252,316180,7452,183190,413414,655209,717481,17433,,08/07/1986,FRESENIUS MEDICAL CARE  N.A.,Y,,HUNTSVILLE DIALYSIS CENTER,012522,12/31/1998,01/01/1998,,35801,1/1/1998,12/31/1998,1998
156,6,4.5,3,20,1,,-504909,,40559800,,2046,,31,2,,143836,132341,132220,8802,103310,366932,871683,409806,15074,,01/01/1987,RENAL CARE GROUP INC,Y,,NORTHEAST ALABAMA KIDNEY CLINIC  INC,012530,12/31/1998,01/01/1998,,39216,1/1/1998,12/31/1998,1998
180,6,4,3,10,1,,-395407,,41953100,,997,,12,2,,81134,,67265,9245,51070,171589,354029,177139,6162,,01/01/1976,,,,WALKER COUNTY DIALYSIS FACILITY,012533,12/31/1998,01/01/1998,,35501,1/1/1998,12/31/1998,1998
219,6,4.5,3,,,,-284417,,21528500,,725,,15,1,,56663,89302,199744,4265,31576,197560,353747,138539,6955,,07/26/1991,RENAL CARE GROUP  INC.,Y,,NORTHEAST ALABAMA KIDNEY CLINIC INC.,012539,12/31/1998,01/01/1998,,39216,1/1/1998,12/31/1998,1998
242,6,4.5,3,40,1,,-363068,-65794,53185,7426,1082,,4,15,,82877,3314,115123,3232,53720,195012,335716,165762,8844,,03/11/1992,FRESENIUS MEDICAL CARE  N.A.,Y,,BMA ALEXANDER CITY,012541,12/31/1998,01/01/1998,,35010,1/1/1998,12/31/1998,1998
250,6,4.5,3,40,1,,-367838,-61540,53745,3011,731,,4,15,,63758,2966,103013,2711,60523,166587,308805,156192,7241,,05/17/1993,FRESENIUS MEDICAL CARE  N.A.,Y,,BMA OF TUSKEGEE,012546,12/31/1998,01/01/1998,,36803,1/1/1998,12/31/1998,1998
266,6,4.5,3,34,1,,-57956,,7808,,855,19,10,2,,17412,58420,60147,3266,56475,198697,144643,67451,4507,,03/17/1994,,,,DIALYSIS AFFILIATES OF S AL,012549,12/31/1998,01/01/1998,,36426,1/1/1998,12/31/1998,1998
283,3,4.5,3,25,1,,-128273,11494,13943,,247,,10,1,,42766,30599,103463,2976,48993,140013,199200,68975,2937,,05/02/1995,DIALYSIS AMERICA  INC.,Y,Y,VALLEY DIALYSIS CLINIC,012555,10/31/1998,01/01/1998,,36854,1/1/1998,10/31/1998,1998
284,3,4.5,3,40,1,,-23294,,2779,,41,97,10,1,,5110,,13427,,4669,13636,42648,12369,503,,05/03/1995,FRESENIUS MEDICAL CARE  N.A.,Y,,VALLEY DIALYSIS CENTER,012555,12/31/1998,11/01/1998,,36854,11/1/1998,12/31/1998,1998
315,6,4,3,,,,-174397,-50000,28489,4703,1168,,8,1,,29014,895,39477,1804,37725,84523,257989,168544,5792,,12/07/1995,,,,LAKEVIEW DIALYSIS CENTER,012561,12/31/1998,01/01/1998,,35976,1/1/1998,12/31/1998,1998
323,3,4.5,3,,1,,-18829,-1758,2660,140,55,,8,1,,7775,,56476,,17609,16312,1923,6503,422,,10/31/1995,FRESENIUS MEDICAL CARE  N.A.,Y,,BIO MED APPL OF UNION SPRINGS,012564,04/19/1998,01/01/1998,,36089,1/1/1998,4/19/1998,1998
329,6,3.5,3,30,1,,-114756,,13319,,440,,9,3,,15562,52872,57865,,26623,112364,136172,66848,4054,,04/02/1996,,,,SOUTH BALDWIN DIALYSIS CENTER,012565,12/31/1998,01/01/1998,,32514,1/1/1998,12/31/1998,1998
340,6,4.25,3,,,,-147677,,18770700,,853,,10,2,,11135,27998,46208,1085,24950,96653,69127,113518,3356,,06/01/1998,RENAL CARE GROUP  INC.,Y,,NORTHEAST ALABAMA KIDNEY CLINIC,012567,12/31/1998,06/01/1998,,39216,6/1/1998,12/31/1998,1998
347,6,4,3,,,,-424152,-67244,62382,8149,1277,,15,1,,99152,885,262858,4131,76641,270607,387454,432605,11276,,09/03/1996,FRESENIUS MEDICAL CARE  N.A.,Y,,PARKWAY DIALYSIS DBA BMA PARKWAY,012568,12/31/1998,01/01/1998,,35801,1/1/1998,12/31/1998,1998
353,3,4.25,3,,1,,-61889,,7019100,,73,,5,1,,12420,13593,45822,490,37766,60140,77927,23414,1031,,11/07/1996,RENAL CARE GROUP  INC.,Y,,NEPHROLOGY CENTER OF FOLEY,012569,12/31/1998,01/01/1998,,39216,1/1/1998,12/31/1998,1998
357,6,4.5,3,65,1,,-193183,-30842,25000,3112,908,,8,1,,46159,1794,115975,,58157,122554,192851,81077,4723,,02/11/1997,FRESENIUS MEDICAL CARE  N.A.,Y,,BIO-MEDICAL APPLICATIONS CAMELLIA,012572,12/31/1998,01/01/1998,,36037,1/1/1998,12/31/1998,1998
361,3,4.5,3,40,1,,-298775,-29344,45000,2373,265,,10,2,,89964,412,156681,12844,68853,173720,370566,111120,3221,,06/17/1997,FRESENIUS MEDICAL CARE  N.A.,Y,,BMA CHAMBERS,012574,12/31/1998,01/01/1998,,36864,1/1/1998,12/31/1998,1998
363,3,4.5,3,,1,,-49874,-302,5201,,243,,10,1,,8311,2532,86711,299,18290,40562,32020,47125,1215,,01/01/1998,ALABAMA DIALYSIS SERVICES,Y,,ALABAMA DIALYSIS SERVICES - WALKER,012575,06/30/1998,01/08/1998,,35211,1/8/1998,6/30/1998,1998
369,3,4.5,3,,,,-37817,,4976600,,287,,8,1,,5983,15267,57694,165,31192,55037,57324,29926,1151,,06/03/1998,RCG OF MISSISSIPPI  INC.,Y,,NORTHEAST ALABAMA KIDNEY CLINIC  INC,012577,12/31/1998,06/03/1998,,39216,6/3/1998,12/31/1998,1998
398,6,4.5,3,20,1,,-364473,-19700,41758,,2193,959,16,2,,89795,9329,148502,3916,68352,139034,641120,421070,13653,,09/17/1980,TRI STATE DIALYSIS,Y,,TRI STATE DIALYSIS,162500,12/31/1998,01/01/1998,,,1/1/1998,12/31/1998,1998
400,6,3.5,3,19,1,,-621381,,7030895,,3205,,26,3,,130362,345,120369,6594,132710,384843,744756,601391,16135,,06/12/1986,,,,KIDNEY CARE EAST,162501,12/31/1998,01/01/1998,,50309,1/1/1998,12/31/1998,1998
402,6,4.5,3,11,1,,,,35203,,1856,,22,2,,76915,426,162538,2987,72228,286974,410159,308867,8968,,01/01/1996,,,,KIDNEY CARE EAST,162506,12/31/1998,01/01/1998,,50309,1/1/1998,12/31/1998,1998
404,3,4.5,3,10,1,,-36390,,16506,,464,,15,1,,16407,4092,131939,824,87293,116870,140054,55944,3658,,04/19/1997,,,,QUAD CITIES KIDNEY CENTER LTD 04,162507,12/31/1998,01/01/1998,,52803,1/1/1998,12/31/1998,1998
406,3,4.5,3,,1,,-38857,-4080,4667,,365,,5,1,,9885,252,24122,468,22809,13849,73055,42655,1650,,01/08/1997,TRI STATE DIALYSIS,Y,,TRI STATE DIALYSIS,162508,12/31/1998,01/01/1998,,52052,1/1/1998,12/31/1998,1998
410,3,4.5,3,,1,,-45566,-2760,5252,,328,,8,1,,10025,906,39220,391,45956,18253,92757,69637,2154,,06/19/1997,,Y,,TRI STATE DIALYSIS,162511,12/31/1998,01/01/1998,,52057,1/1/1998,12/31/1998,1998
416,6,4.5,3,,1,,-80102,,10621,,670,80,24,3,,21971,1473,57485,365,148598,231947,112230,63395,2032,,10/30/1998,,,,CEDAR VALLEY DIALYSIS CENTER,162516,12/31/1998,10/30/1998,,50704,10/30/1998,12/31/1998,1998
448,6,4.75,3,16,1,,-325045,,45391,,1253,1611,18,2,,66030,112460,88733,8947,86463,301709,337367,237098,10700,,04/12/1982,,,,OUACHITA REGIONAL DIALYSIS CENTER,042507,12/31/1998,01/01/1998,,71901,1/1/1998,12/31/1998,1998
