rpt_rec_num,avg_days_open_per_week,avg_session_time,avg_weekly_sessions,dialyser_reuse_times,dialyzer_type,epo_cost,epo_net_cost,epo_rebates,epo_total,lab_services,non_medicare_sessions,non_medicare_sessions_indirect,num_machines_regular,num_machines_standby,supplies,total_costs_hd_benefits,total_costs_hd_drugs,total_costs_hd_housekeeping,total_costs_hd_labs,total_costs_hd_machines,total_costs_hd_other,total_costs_hd_salaries,total_costs_hd_supplies,total_treatments_hd,total_treatments_pd,certification_date,chain_identity,chain_indicator,ever_hospital_based,facility_name,prvdr_num,report_end_date,report_start_date,state,zip_code,fy_bgn_dt,fy_end_dt,year
90564,6,5,3,6,1,542220,-542220,,68518,914,2762,1898,20,4,24548,223820,43321,242610,42,82203,363877,1034314,213174,13653,,04/02/1990,AMERI-TECH KIDNEY CENTER PA,Y,N,AMERI-TECH KIDNEY CTR-ARLINGTON,452618,01/31/2007,02/01/2006,TX,76013,2/1/2006,1/31/2007,2007
91116,3,5,,7,1,402500,-402500,,48055,630,3881,,20,4,17797,219103,41672,288814,28,71220,477267,972557,203078,13978,,04/29/1993,AMERI-TECH KIDNEY CENTER PA,Y,N,AMERI-TECH KIDNEY CTR-BEDFORD,452655,01/31/2007,02/01/2006,TX,76022,2/1/2006,1/31/2007,2007
93007,3,4,3,,1,20386,-20786,400,2151,350,79,,12,2,7237,11182,,17312,,610,21406,4258,,342,,08/01/2003,RENAL VENTURES MANAGEMENT,Y,N,RENAL CENTER OF ATHENS,452818,02/17/2007,01/01/2007,TX,75751,1/1/2007,2/17/2007,2007
93008,3,4,3,20,1,431693,-431693,,99000,3325,1419,1886,30,3,190405,39549,,180753,,21435,128402,481046,,5910,,06/03/1991,,N,N,LEWISVILLE DIALYSIS CENTER,452648,04/30/2007,01/01/2007,TX,75057,1/1/2007,4/30/2007,2007
93272,3,3,3,75,1,603660,-603660,,150914,,3854,86,30,3,,194620,252491,177655,5512,116590,394558,778628,193580,12675,,06/29/1989,,N,N,KIDNEY TREATMENT CENTER  INC.,452615,06/30/2007,07/01/2006,TX,78227,7/1/2006,6/30/2007,2007
93335,6,4.5,3,,1,503941,-503941,,57217,,2173,,24,3,,82364,243880,186421,8440,221411,483220,477596,136381,7142,,09/10/2003,,N,N,HOOD DIALYSIS SERVICES  LLC,362662,01/31/2007,01/01/2006,OH,43219,1/1/2006,1/31/2007,2007
93351,6,5,3,1,1,811366,-811366,,84590,3068,1878,,12,2,,134157,27046,88228,2954,178432,217657,535961,199820,9847,,10/02/2002,,N,N,MCALESTER REGIONAL DIALYSIS CENTER,372564,06/30/2007,07/01/2006,OK,75401-4209,7/1/2006,6/30/2007,2007
93527,0.0299999999999994,0.0399999999999991,0.0299999999999994,,,140274,-125552,-14722,16005,,1800,,9,1,,60384,,68510,6737,8974,77408,162641,53644,3629,,12/13/1995,,Y,N,DIALYSIS CLINIC  INC.,012562,09/30/2007,10/01/2006,AL,35125,10/1/2006,9/30/2007,2007
93530,0.0599999999999987,0.0499999999999989,0.0299999999999994,,2,425003,-380691,-44312,47716,,1287,,15,5,,139561,4390,90968,11853,41258,305168,498448,108371,7326,,08/01/1994,DIALYSIS CLINIC  INC.,Y,N,DIALYSIS CLINIC  INC.,422552,09/30/2007,10/01/2006,SC,29379,10/1/2006,9/30/2007,2007
93554,0.0299999999999994,0.0499999999999989,0.0299999999999994,,,349394,-315251,-34143,37849,,797,,24,,,121102,2927,130041,4910,74419,212961,322015,100225,4730,,02/12/2001,,Y,N,DIALYSIS CLINIC  INC.,442635,09/30/2007,10/01/2006,TN,37924,10/1/2006,9/30/2007,2007
93558,0.0299999999999994,0.449999999999989,0.0299999999999994,,,204170,-185632,-18538,22381,,1763,,14,2,,117485,,239305,19156,75305,204081,381756,103032,4670,,11/04/2003,,Y,N,DIALYSIS CLINIC  INC.,362664,09/30/2007,10/01/2006,OH,45069,10/1/2006,9/30/2007,2007
93652,3,6,3,,1,159169,-159169,,15259,,530,,12,2,,26028,6310,12302,256,6588,71828,202478,34187,2042,,05/25/1995,INDEPENDENT DIALYSIS FOUNDATION,Y,N,IDF-TRINITY CENTER,212560,04/30/2007,10/01/2006,MD,21043,10/1/2006,4/30/2007,2007
93674,3,4,3,,1,23678,-23678,,,,,,8,1,,10747,70622,20656,15389,19336,108941,61856,30834,818,,11/21/2006,SIOUX VALLEY REGINOL HEALTH SERVICES,Y,N,NORTHWEST IOWA DIALYSIS CENTER,162536,04/30/2007,11/21/2006,IA,51238,11/21/2006,4/30/2007,2007
93725,0.0599999999999987,0.449999999999989,0.0299999999999994,,,911328,-806462,-104866,93368,,6094,,26,4,5123,391579,11473,301873,38620,111445,742276,1522588,454538,18858,,08/06/1997,,Y,N,DIALYSIS CLINIC  INC.,332570,09/30/2007,10/01/2006,NY,11733,10/1/2006,9/30/2007,2007
93730,0.0599999999999987,0.0399999999999991,0.0299999999999994,,,116482,-105205,-11277,11166,,509,,6,1,,70744,1692,90832,2132,23516,99818,283924,71218,2489,,02/03/2006,,Y,N,DIALYSIS CLINIC  INC.,202511,09/30/2007,10/01/2006,ME,04915,10/1/2006,9/30/2007,2007
93735,0.0599999999999987,0.0399999999999991,0.0299999999999994,,1,959925,-857223,-102702,101511,,1423,,30,4,,331121,,100470,15229,110387,487601,939050,266833,15354,,03/01/1985,,Y,N,DIALYSIS CLINIC  INC.,012521,09/30/2007,10/01/2006,AL,36301,10/1/2006,9/30/2007,2007
93736,0.0599999999999987,0.0499999999999989,0.0299999999999994,,,251431,-227730,-23701,26612,,357,,10,2,,102674,2224,89562,6974,15268,263194,474449,80172,4672,,06/23/1997,,Y,N,DIALYSIS CLINIC  INC.,152548,09/30/2007,10/01/2006,IN,46122,10/1/2006,9/30/2007,2007
93753,0.0599999999999987,0.0499999999999989,0.0299999999999994,,2,779634,-699722,-79912,77746,,1596,,25,6,,261542,29572,178315,12961,63472,599156,732971,181547,10929,,04/10/1996,DIALYSIS CLINIC  INC.,Y,N,DIALYSIS CLINIC  INC.,422560,09/30/2007,10/01/2006,SC,29301,10/1/2006,9/30/2007,2007
93754,0.0499999999999989,0.129999999999995,0.0299999999999994,,1,198884,-180079,-18805,21651,,335,,3,,,91886,1009,82006,2721,17960,149177,278943,51629,3618,,01/25/2001,DIALYSIS CLINIC  INC.,Y,N,DIALYSIS CLINIC  INC.,422577,09/30/2007,10/01/2006,SC,29356,10/1/2006,9/30/2007,2007
93759,0.0599999999999987,0.449999999999989,0.0199999999999996,,,481115,-424778,-56337,58644,,940,,16,3,,236345,5585,84035,8316,36321,266473,607086,171445,10314,,01/04/1996,DIALYSIS CLINIC  INC.,Y,N,DIALYSIS CLINIC  INC.,012563,09/30/2007,10/01/2006,AL,35055,10/1/2006,9/30/2007,2007
93785,0.0599999999999987,0.449999999999989,0.0299999999999994,,1,1069086,-956087,-112999,113808,,2204,,27,6,,381808,,140678,18221,72825,505217,1060735,250476,15826,,11/01/1978,DIALYSIS CLINIC  INC.,Y,N,DIALYSIS CLINIC  INC.,102531,09/30/2007,10/01/2006,FL,32204,10/1/2006,9/30/2007,2007
93790,0.0599999999999987,0.0499999999999989,0.0299999999999994,,,890957,-800801,-90156,96277,,2360,,34,8,,428366,13907,206294,35902,83301,947102,1364631,393359,22084,,06/13/1997,DIALYSIS CLINIC  INC.,Y,N,DIALYSIS CLINIC  INC.,152547,09/30/2007,10/01/2006,IN,46222,10/1/2006,9/30/2007,2007
93875,0.0599999999999987,0.449999999999989,0.0299999999999994,,,432138,-384747,-47391,47751,4060,1505,,16,3,4412,162157,,71355,1851,47864,246509,484807,130370,7929,,01/22/1998,,Y,N,DIALYSIS CLINIC  INC.,442562,09/30/2007,10/01/2006,TN,38242,10/1/2006,9/30/2007,2007
93893,0.0299999999999994,0.449999999999989,0.0299999999999994,,,51921,-46786,-5135,4568,,677,,7,1,,49341,,134708,21242,26836,83690,186504,20594,1138,,03/11/2002,,Y,N,DIALYSIS CLINIC  INC.,452842,09/30/2007,10/01/2006,TX,78723,10/1/2006,9/30/2007,2007
93914,,,,,,24302,-24302,,2461,,,,,,,,,,,,,,,,,05/26/2005,DIALYSIS CLINIC  INC.,Y,N,DIALYSIS CLINIC  INC.,192675,09/30/2007,10/01/2006,LA,71102,10/1/2006,9/30/2007,2007
93915,0.0299999999999994,0.449999999999989,0.0299999999999994,,,20246,-20246,,2206,,107,,12,2,,31129,1734,191882,51,38006,40374,118075,4203,374,,06/29/2007,DIALYSIS CLINIC  INC.,Y,N,DIALYSIS CLINIC  INC.,262622,09/30/2007,06/29/2006,MO,64083,6/29/2006,9/30/2007,2007
93982,3,4.44999999999982,3,,1,22449,-5692,-16757,2162,,,,10,,107,2712,398,67103,41,15996,75984,14432,5784,347,,12/14/1992,FRESENIUS MEDICAL CARE  N.A.,Y,N,BMA APPLETON,522514,04/30/2007,01/01/2007,WI,54914,1/1/2007,4/30/2007,2007
94014,0.0299999999999994,0.0399999999999991,0.0299999999999994,,,149311,-133913,-15398,17081,34,671,,9,2,,64346,2539,181102,2518,46380,127752,201374,59521,3367,,06/09/2004,DIALYSIS CLINIC  INC.,Y,N,DIALYSIS CLINIC  INC.,322526,09/30/2007,10/01/2006,NM,87740,10/1/2006,9/30/2007,2007
