rpt_rec_num,avg_days_open_per_week,avg_session_time,avg_weekly_sessions,dialyser_reuse_times,dialyzer_type,epo_cost,epo_net_cost,epo_rebates,epo_total,lab_services,non_medicare_sessions,non_medicare_sessions_indirect,num_machines_regular,num_machines_standby,supplies,total_costs_hd_benefits,total_costs_hd_drugs,total_costs_hd_housekeeping,total_costs_hd_labs,total_costs_hd_machines,total_costs_hd_other,total_costs_hd_salaries,total_costs_hd_supplies,total_treatments_hd,total_treatments_pd,certification_date,chain_identity,chain_indicator,ever_hospital_based,facility_name,prvdr_num,report_end_date,report_start_date,state,zip_code,fy_bgn_dt,fy_end_dt,year
100223,3,4.5,3,4,1,186486,-186486,,24200,,824,,17,2,,28515,245,104377,5495,70155,193056,411722,169987,4581,,07/03/2002,ARKANSAS KIDNEY CONSULTANTS,Y,N,SPRINGDALE DIALYSIS CLINIC,042568,01/31/2008,01/01/2007,AR,72764,1/1/2007,1/31/2008,2008
100574,6,4.5,3,25,1,238476,-238476,,31200,,714,,18,2,,36296,312,291697,6995,98411,245858,524067,216371,5831,,01/01/2006,ARKANSAS KIDNEY CONSULTANTS,Y,N,BENTONVILLE DIALYSIS CLINIC,042540,01/31/2008,01/01/2007,AR,72712,1/1/2007,1/31/2008,2008
101648,3,5,3,1,1,,,,,,,,2,1,,1235,,1491,,12152,875,3174,4982,,,07/29/2002,DAVITA  INC,Y,N,MONROE JACKSON STREET DIALYSIS #3549,192654,05/30/2008,01/01/2008,LA,71201,1/1/2008,5/30/2008,2008
101649,3,3.5,3,35,1,17017,-17017,,2109,,326,,10,3,487,5691,354,18908,,2794,18141,26208,5842,326,,03/26/1996,DAVITA  INC,Y,N,WINNSBORO DIALYSIS #3913,422559,03/28/2008,01/01/2008,SC,29180,1/1/2008,3/28/2008,2008
101788,6,4.5,3,21,1,86751,-86751,,8330,,365,,20,3,,,,38741,2179,17379,18624,157624,,1771,,12/17/1990,,N,N,BIOTRONICS KIDNEY CTR  BEAUMONT,452627,02/27/2008,01/01/2008,TX,77726-7464,1/1/2008,2/27/2008,2008
102272,3,4.5,3,,1,103217,-103217,,22000,,274,,8,1,,15369,132,77954,2962,40356,104070,221904,91617,2469,,06/17/1998,ARKANSAS KIDNEY CONSULTANTS,Y,N,SILOAM SPRINGS DIALYSIS CLINIC,042549,01/31/2008,01/01/2007,AR,72761,1/1/2007,1/31/2008,2008
102606,6,4,3,25,1,117721,-117721,,126954,,561,,14,2,,19333,33910,27013,1714,11037,176616,117472,84589,2587,1730,04/26/1985,,N,N,EAST KNOXVILLE DIALYSIS CENTER,442530,06/30/2008,07/01/2007,TN,37914,7/1/2007,6/30/2008,2008
102786,3,4,3,12,1,9230,-9230,,516,,,,12,2,,,1473,16816,,1377,1990,20215,8245,189,,09/15/1999,,N,N,NORTHEAST GA DIALYSIS CENTER,112663,03/17/2008,01/01/2008,GA,30501,1/1/2008,3/17/2008,2008
102975,6,4.5,3,,1,900500,-962346,61846,101692,,5854,,32,3,9430,487587,8742,668288,23097,138690,537041,1617023,715786,26630,,01/01/1966,BJC WUSM RENAL NETWORK,Y,N,CHROMALLOY AMERICAN KIDNEY CENTER,262502,06/30/2008,07/01/2007,MO,63110,7/1/2007,6/30/2008,2008
102976,6,4.5,3,,1,1178049,-1264072,86023,,,4185,,32,4,5068,436466,7478,469588,6066,144802,495331,1088158,575169,21019,,02/01/1998,BJC WUSM RENAL NETWORK,Y,N,BARNES JEWISH DIALYSIS CENTER,262565,06/30/2008,07/01/2007,MO,63108,7/1/2007,6/30/2008,2008
102981,3,5,3,,1,99944,-53513,-46726,9417,1047,247,,12,2,502,26119,330,43949,115,31000,120737,130909,25445,1668,,01/04/1995,FRESENIUS MEDICAL CARE  N.A.,Y,N,DALLAS EAST,452700,05/30/2008,01/01/2008,TX,75204,1/1/2008,5/30/2008,2008
103226,6,5,3,1,1,789181,-789181,,71725,7617,1810,,12,3,,143388,28267,84636,2989,171123,238390,579980,187163,9963,,10/02/2002,,N,N,MCALESTER REGIONAL DIALYSIS CENTER,372564,06/30/2008,07/01/2007,OK,75401,7/1/2007,6/30/2008,2008
103464,3,5,3,,1,29145,-9160,-19985,2825,493,110,,6,1,127,5061,8,7322,52,5714,27125,25840,8007,508,,02/25/2004,FRESENIUS MEDICAL CARE  N.A.,Y,N,GREEN VALLEY CARE CTR,152587,04/01/2008,01/01/2008,IN,47150,1/1/2008,4/1/2008,2008
103690,6,5,3,,1,334610,-334610,,113963,,2147,,14,2,714,187132,75282,200923,5854,123009,217152,647744,178618,8304,,10/13/1993,,N,N,REGIONAL DIALYSIS SERVICES-BAY CITY,232531,06/30/2008,07/01/2007,MI,48706,7/1/2007,6/30/2008,2008
103691,6,5,3,,1,340094,-340094,,130310,,1156,,10,2,251,123700,98156,131074,3670,83426,172185,358797,125207,6565,,11/14/1997,,N,N,DIALYSIS SERVICES OF GAYLORD,232556,06/30/2008,07/01/2007,MI,49735,7/1/2007,6/30/2008,2008
103881,6,5,3,,1,442406,-442406,,160398,,2242,,12,2,632,196833,87998,164508,4894,112660,232889,535244,216606,9404,,01/06/1994,,N,N,REGIONAL DIALYSIS SERVICES-W BRANCH,232534,06/30/2008,07/01/2007,MI,48661,7/1/2007,6/30/2008,2008
103882,6,5,3,,1,472942,-472942,,184644,,2448,,19,,1200,199041,193911,306276,7628,120091,297517,625065,232889,10818,,05/30/1997,,N,N,ALPENA DIALYSIS SERVICES,232553,06/30/2008,07/01/2007,MI,49707,7/1/2007,6/30/2008,2008
103883,6,4.5,3,,1,1084,-1084,,102100,,45,,3,1,,,117031,,,,248907,,51316,1718,,07/26/2002,,N,N,MOSES DIALYSIS UNIT,232597,03/31/2008,04/01/2007,MI,49781-1792,4/1/2007,3/31/2008,2008
104169,6,4,3,,1,1224236,-1224236,,127913,,1650,1161,19,3,,35556,6492,165274,7885,48512,235567,594655,326094,12009,,10/19/1979,N/A,N,N,DIALYSIS FACILITY INC.,112518,02/29/2008,03/01/2007,GA,31501,3/1/2007,2/29/2008,2008
104225,3,3.5,3,26,1,14322,-14322,,1757,,70,,14,2,715,6701,166,29413,,3038,49568,11859,5511,305,,01/23/1996,DAVITA  INC,Y,N,EDGEFIELD DIALYSIS #3915,422558,04/30/2008,01/01/2008,SC,29824,1/1/2008,4/30/2008,2008
104295,3,5,3,,1,37295,-37295,,4040,,305,,12,1,,28357,801,51474,2369,5431,107920,98767,22557,1115,,05/24/1999,DIALYSIS CLINIC  INC.,Y,N,DIALYSIS CLINIC  INC.,152559,06/13/2008,10/01/2007,IN,46016,10/1/2007,6/13/2008,2008
104495,3,4.5,3,,1,620348,-577596,-42752,66096,,680,,16,1,292638,98220,,280045,,,132454,616951,,7255,,04/24/2000,,N,N,UNION COUNTY DIALYSIS,112680,04/30/2008,05/01/2007,GA,30512,5/1/2007,4/30/2008,2008
