rpt_rec_num,avg_days_open_per_week,avg_session_time,avg_weekly_sessions,dialyser_reuse_times,dialyzer_type,epo_cost,epo_net_cost,epo_rebates,epo_total,lab_services,non_medicare_sessions,non_medicare_sessions_indirect,num_machines_regular,num_machines_standby,supplies,total_costs_hd_benefits,total_costs_hd_drugs,total_costs_hd_housekeeping,total_costs_hd_labs,total_costs_hd_machines,total_costs_hd_other,total_costs_hd_salaries,total_costs_hd_supplies,total_treatments_hd,total_treatments_pd,certification_date,chain_identity,chain_indicator,ever_hospital_based,facility_name,prvdr_num,report_end_date,report_start_date,state,zip_code,fy_bgn_dt,fy_end_dt,year
81817,6,5,3,10,1,577735,-577735,,66225,30957,3740,,20,4,8012,245854,36134,283545,3693,50106,491117,981986,187813,13414,,04/29/1993,AMERI-TECH KIDNEY CENTER PA,Y,N,AMERI-TECH KIDNEY CTR-BEDFORD,452655,01/31/2006,02/01/2005,TX,76022,2/1/2005,1/31/2006,2006
82202,6,5,3,8,1,839489,-839489,,100575,27615,3240,1680,20,4,10632,213188,40346,251468,4056,88780,347326,967767,221101,13545,,04/02/1990,AMERI-TECH KIDNEY CENTER PA,Y,N,AMERI-TECH KIDNEY CTR-ARLINGTON,452618,01/31/2006,02/01/2005,TX,76013,2/1/2005,1/31/2006,2006
83153,6,4.5,3,,1,52455,-41631,-10824,5005,284,491,6,10,2,396,16537,102,28838,695,8917,76961,62584,21586,1290,,06/01/1997,FRESENIUS MEDICAL CARE  N.A.,Y,N,WILLAMETTE VALLEY KIDNEY CENTER,382520,03/31/2006,01/01/2006,OR,97045,1/1/2006,3/31/2006,2006
83235,6,5,3,,1,145272,-121520,-23752,14231,2441,334,,18,2,874,39608,30,31553,252,20793,111864,111043,40423,2361,,03/26/1993,FRESENIUS MEDICAL CARE  N.A.,Y,N,BMA NW INDIANAPOLIS,152524,03/31/2006,01/01/2006,IN,46278,1/1/2006,3/31/2006,2006
83343,3,4,3,,,195840,-195840,,21728850,,212,,6,2,,13573,26006,5445,,7076,185482,197253,117707,2224,,08/31/2006,,N,N,MARYLAND KIDNEY CARE,212577,02/28/2006,09/01/2005,MD,21218,9/1/2005,2/28/2006,2006
83344,3,4,3,,,160232,-160232,,17778150,,361,,6,2,,11105,21278,4455,,8299,147974,161389,96306,2240,,08/31/2006,,N,N,MARYLAND KIDNEY CARE,212619,02/28/2006,09/01/2005,MD,21012,9/1/2005,2/28/2006,2006
83398,6,4.5,3,,1,1286142,-1233160,-52982,131058,,3818,,28,4,15328,401164,5787,440259,5615,111155,543700,1581553,598367,22546,,02/01/1998,BJC/WU RENAL NETWORK,Y,N,BARNES JEWISH HOSPITAL,262565,06/30/2006,07/01/2005,MO,63108,7/1/2005,6/30/2006,2006
83491,6,4.59999999999991,3,,1,151609,-126821,-24788,14579,,330,,11,2,788,10384,102,44596,186,2399,69498,50613,27215,1696,,04/06/1998,FRESENIUS MEDICAL CARE  N.A.,Y,N,LAKEWOOD ARTIFICIAL KIDNEY CENTER,102733,03/31/2006,01/01/2006,FL,34201,1/1/2006,3/31/2006,2006
83492,3,3,3,75,1,167959,-167959,,41987,,3714,,30,3,,97137,716601,157628,21607,143221,213359,668779,161415,12852,,06/29/1989,,N,N,KIDNEY TREATMENT CENTER  INC.,452615,06/30/2006,07/01/2005,TX,78227,7/1/2005,6/30/2006,2006
83667,,,,,,,,,,,,,,,,10685,,998,,1485,50367,2053,1116,,,06/30/1994,DAVITA INC.,Y,N,RTC-NEW ORLEANS DIALYSIS CENTER #80,192554,06/30/2006,01/01/2006,LA,70115,1/1/2006,6/30/2006,2006
84429,6,5,3,2,1,,,,,,,,18,2,,150338,182030,191735,3925,17872,436743,641679,311282,10585,,06/05/1997,,N,N,SAND CASTLE DIALYSIS  LLC,452757,12/31/2006,01/01/2006,TX,77590,1/1/2006,12/31/2006,2006
84665,6,4.5,3,1,1,482740,-672047,189307,61390,,2038,,10,3,11763,112131,2903,322716,1339,80124,488140,459284,253629,7062,,10/28/1994,DAVITA INC.,Y,N,MEDFORD KIDNEY CENTER  #3266,332555,12/31/2006,01/01/2006,NY,11763-2649,1/1/2006,12/31/2006,2006
84666,6,4.5,3,1,1,1048995,-1457577,408582,132580,,7973,,30,5,32286,312199,2106,549441,891,152427,1098817,1296167,317108,19807,,03/01/1997,DAVITA INC.,Y,N,UTICA AVENUE DIALYSIS  #3252,332556,12/31/2006,01/01/2006,NY,11203-5911,1/1/2006,12/31/2006,2006
84806,6,3.5,3,1,1,591232,-807951,216719,79221,,2369,,20,2,25707,166512,1436,388110,,69724,845762,748201,250086,12672,,10/17/1997,DAVITA INC.,Y,N,HUDSON VALLEY DIALYSIS CENTER #534,332571,12/31/2006,01/01/2006,NY,10591,1/1/2006,12/31/2006,2006
84807,6,3.5,3,15,1,344850,-439109,94259,45415,,1137,,19,2,9945,95665,1921,168336,,57583,319504,345674,90143,5145,,01/07/1998,DAVITA INC.,Y,N,PEEKSKILL CORTLAND DIALYSIS CTR 512,332574,06/30/2006,01/01/2006,NY,10567,1/1/2006,6/30/2006,2006
84808,6,4,3.5,,1,1132755,-1132755,,135573,,9270,,30,4,,115857,46467,641280,16648,86412,911554,1531259,563683,24655,,03/05/1998,,N,N,BRONX RIVER NEPHRO-CARE  INC.,332576,12/31/2006,01/01/2006,NY,10462,1/1/2006,12/31/2006,2006
84820,6,4.25,3,,1,1404055,-1404055,,171248,,5635,,20,5,,180586,364082,506326,5937,174080,926686,1695437,531909,22198,,08/01/1997,,N,N,ROGOSIN INSTITUTE- BROOKLYN,332566,12/31/2006,01/01/2006,NY,11215,1/1/2006,12/31/2006,2006
84902,3,4,3,,1,224691,-165628,-59063,21204,8783,1863,,24,2,1187,45331,275,275703,267,86041,278087,199992,66663,3977,,03/04/2005,FRESENIUS MEDICAL CARE  N.A.,Y,N,CHAMPLIN DIALYSIS CENTER,242560,12/31/2006,01/01/2006,MN,55316,1/1/2006,12/31/2006,2006
84910,6,3.57999999999993,3,,1,671942,-495489,-176453,64353,6095,2754,,15,5,7232,178611,6089,498204,1202,110910,862127,833449,236115,13877,,09/19/2000,FRESENIUS MEDICAL CARE  N.A.,Y,N,EVEREST ST. CLAIRE,312554,12/31/2006,01/01/2006,NJ,07801,1/1/2006,12/31/2006,2006
84925,3,4.25,3,,1,96294,-70986,-25308,9494,60,101,,8,2,478,12579,408,116113,146,32654,180279,60164,24379,1443,,09/08/1993,FRESENIUS MEDICAL CARE  N.A.,Y,N,BMA OSHKOSH,522518,12/31/2006,01/01/2006,WI,54904 00,1/1/2006,12/31/2006,2006
84938,6,5.5,3,12,1,71001,-71001,,9861,,3079,,18,2,,166124,172283,389031,11896,50932,490861,987149,335824,13705,,10/10/1997,,N,N,RENAL CARE OF ROCKLAND,332572,12/31/2006,01/01/2006,NY,10989-5900,1/1/2006,12/31/2006,2006
84984,6,4.75,3,,1,125910,-125910,,676,,,,6,1,,70234,93107,59124,101457,,49362,354011,65558,3547,,03/25/1998,,N,N,BOZEMAN DIALYSIS CENTER,272503,06/30/2006,07/01/2005,MT,59715,7/1/2005,6/30/2006,2006
85052,6,4,3,,1,1367878,-1367878,,140000,,10299,,24,5,,601785,,629057,19644,26929,447879,1828890,583762,24219,,03/29/1988,,N,N,NEPHROLOGY FOUNDATION OF BKLYN-E,332535,12/31/2006,01/01/2006,NY,11207,1/1/2006,12/31/2006,2006
85221,6,4.5,3,,1,517464,-394470,-122994,49604,4442,1453,,15,2,3172,139663,309,391834,1568,82286,503316,705734,163162,9492,,01/01/1995,FRESENIUS MEDICAL CARE  N.A.,Y,N,DIABLO RENAL SERVICES WALNUT CREEK,052758,12/31/2006,01/01/2006,CA,94598,1/1/2006,12/31/2006,2006
85470,6,4.12999999999988,3,,1,1339289,-977917,-361372,128449,,9374,,24,4,6008,278443,1125,694452,28648,200580,1247315,1126996,448847,20454,,06/11/1999,,N,N,ST. ALBANS DIALYSIS CENTER,332595,12/31/2006,01/01/2006,NY,11434,1/1/2006,12/31/2006,2006
