rpt_rec_num,avg_days_open_per_week,avg_session_time,avg_weekly_sessions,dialyser_reuse_times,dialyzer_type,epo_cost,epo_net_cost,epo_rebates,epo_total,lab_services,non_medicare_sessions,non_medicare_sessions_indirect,num_machines_regular,num_machines_standby,supplies,total_costs_hd_benefits,total_costs_hd_drugs,total_costs_hd_housekeeping,total_costs_hd_labs,total_costs_hd_machines,total_costs_hd_other,total_costs_hd_salaries,total_costs_hd_supplies,total_treatments_hd,total_treatments_pd,certification_date,chain_identity,chain_indicator,ever_hospital_based,facility_name,prvdr_num,report_end_date,report_start_date,state,zip_code,fy_bgn_dt,fy_end_dt,year
73139,6,5,3,,1,24040,-31791,7751,3588,,81,,20,1,85,12304,422,18652,272,3706,17664,5943,9446,407,,10/02/1982,RENAL CARE GROUP  INC.,Y,N,ANGLETON DIALYSIS,452549,02/27/2005,01/01/2005,TX,75039,1/1/2005,2/27/2005,2005
73306,6,5,3,10,1,1025288,-1025288,,104652,41420,4211,1721,20,4,16152,231552,39905,262255,3955,115339,476242,988443,205886,12079,,04/02/1990,AMERITECH KIDNEY CENTER,Y,N,AMERITECH KIDNEY CENTER ARLINGTON,452618,01/31/2005,02/01/2004,TX,76013,2/1/2004,1/31/2005,2005
73322,6,5,3,10,1,938180,-938180,,95195,35787,4063,,20,4,16460,235865,34547,289141,4142,66520,457811,994504,225839,13330,,04/29/1993,AMERITECH KIDNEY CENTER,Y,N,AMERITECH KIDNEY CENTER BEDFORD,452655,01/31/2005,02/01/2004,TX,76022,2/1/2004,1/31/2005,2005
73349,6,4.5,3,,1,421685,-375428,-46257,49494,1353,260,,20,2,2690,85038,496,204108,909,99211,429145,324282,122780,6894,,08/29/1995,FRESENIUS MEDICAL CARE  N.A.,Y,N,DIALYSIS SPECIALISTS OF AMARILLO,452721,02/04/2005,01/01/2004,TX,79106,1/1/2004,2/4/2005,2005
73382,6,4,3,,1,11860,-11860,,3340,,,,15,2,,4712,,8545,673,7345,2019,17605,17952,945,,10/15/2004,,N,N,RIO GRANDE RENAL CARE  L.P.,452664,02/28/2005,01/01/2005,TX,78582,1/1/2005,2/28/2005,2005
73487,6,4,3,,1,78063,-78063,,8760,,316,,20,2,,9183,75,13837,881,4824,22467,48397,27812,2467,,12/31/2003,,N,N,MID VALLEY DIALYSIS OF WESLACO,452870,02/28/2005,01/01/2005,TX,78596,1/1/2005,2/28/2005,2005
73569,6,4,3,,1,89773,-89773,,18560,,604,,30,4,,20989,227,21778,1848,6308,37530,72511,44716,3623,,09/20/2000,,N,N,HARLINGEN DIALYSIS  LTD,452817,02/28/2005,01/01/2005,TX,78550,1/1/2005,2/28/2005,2005
73595,,,,1,1,92129,-95398,3269,10493,,,,,,669,,,,,,,,,,,01/12/2004,DAVITA INC.,Y,N,PDI DOWNTOWN HOUSTON #1662,452874,01/31/2005,01/12/2004,TX,77002,1/12/2004,1/31/2005,2005
73603,6,4,3,,1,13661,-13661,,3000,,95,,12,1,,3516,,7036,375,2184,11088,15139,9381,781,,08/20/2004,,N,N,EDINBURG DIALYSIS  LTD.,452890,02/28/2005,01/01/2005,TX,78539,1/1/2005,2/28/2005,2005
74091,6,5,3,12,1,623713,-623713,,73630,520,1622,,29,,3106,142759,7656,198209,489,155408,375251,562007,168929,10020,,12/05/1986,WAKE FOREST UNIV HEALTH SCIENCES,Y,N,STATESVILLE DIALYSIS CTR OF WFU,342527,06/30/2005,07/01/2004,NC,28625,7/1/2004,6/30/2005,2005
74092,6,5,3,14,1,412128,-412128,,48682,2181,1899,,20,,2391,129330,9302,141077,4,128732,288657,432646,109237,8087,,07/20/1990,WAKE FOREST UNIVERSITY HEALTH SCIENC,Y,N,MT. AIRY DIALYSIS CTR. OF WFU,342551,06/30/2005,07/01/2004,NC,27030,7/1/2004,6/30/2005,2005
74093,6,5,3,18,1,887714,-887714,,108809,8616,2758,,36,,4806,219592,19651,196589,15564,181871,580847,761787,217181,15588,,09/18/1990,WAKE FOREST UNIVERSITY HEALTH SCIENC,Y,N,LEXINGTON DIALYSIS CTR OF WFU,342553,06/30/2005,07/01/2004,NC,27295,7/1/2004,6/30/2005,2005
74097,6,,3,18,1,393046,-393046,,47595,999,901,,19,,2576,100020,10950,135642,13375,100500,340619,373387,108424,7668,,12/21/2001,WAKE FOREST UNIVERSTIY HEALTH SCIENC,Y,N,ELKIN DIALYSIS CENTER OF WFU,342614,06/30/2005,07/01/2004,NC,28621,7/1/2004,6/30/2005,2005
